method,parameter,estimate,se,time,sim,true,pct_diff
secr_joint,D.(Intercept),1.0684205673231066,0.08714357820181813,67.38000000000011,1,1.0986122886681098,-2.7481689087608636
secr_joint,D.x.s,0.4240862458604047,0.09171662522766497,67.38000000000011,1,0.5,-15.182750827919056
secr_joint,g0,0.6765435035282387,0.386172094971268,67.38000000000011,1,0.8,-15.432062058970173
secr_joint,sigma.(Intercept),4.1222591870784635,0.06620063624413353,67.38000000000011,1,4.05,1.7841774587274983
secr_joint,sigma.x.s,-0.20933376622455713,0.042826005830088595,67.38000000000011,1,-0.23,-8.985319032801254
secr_glm,g0,0.677137428259238,0.3868165729464562,29.889999999999873,1,0.8,-15.357821467595262
secr_glm,sigma.(Intercept),4.121359119512697,0.06611152733409627,29.889999999999873,1,4.05,1.7619535682147358
secr_glm,sigma.x.s,-0.2096015122632475,0.042775354354041825,29.889999999999873,1,-0.23,-8.868907711631527
secr_glm,D.(Intercept),1.0691252436305494,0.06059667489368223,29.889999999999873,1,1.0986122886681098,-2.684026507049969
secr_glm,D.x.s,0.4244207510611634,0.0642002222293802,29.889999999999873,1,0.5,-15.11584978776732
secr_joint,D.(Intercept),1.0693519515226368,0.08670652693118465,79.77999999999975,2,1.0986122886681098,-2.663390665413581
secr_joint,D.x.s,0.5492237107057873,0.095446616867259,79.77999999999975,2,0.5,9.84474214115747
secr_joint,g0,0.7030775515974229,0.42865227274127937,79.77999999999975,2,0.8,-12.115306050322141
secr_joint,sigma.(Intercept),4.105842094346656,0.06552160997423934,79.77999999999975,2,4.05,1.3788171443618764
secr_joint,sigma.x.s,-0.23081071930285046,0.04589768307538533,79.77999999999975,2,-0.23,0.35248665341324104
secr_glm,g0,0.7032731788166813,0.429056729736633,32.529999999999745,2,0.8,-12.090852647914845
secr_glm,sigma.(Intercept),4.105569453257079,0.06551671927096889,32.529999999999745,2,4.05,1.3720852656068934
secr_glm,sigma.x.s,-0.2308959542795893,0.04587934222054663,32.529999999999745,2,-0.23,0.38954533895186977
secr_glm,D.(Intercept),1.0695555042845755,0.060935453062569964,32.529999999999745,2,1.0986122886681098,-2.644862494553104
secr_glm,D.x.s,0.5493286630122314,0.06433949088168,32.529999999999745,2,0.5,9.865732602446275
secr_joint,D.(Intercept),1.0807810232248534,0.07547263042375525,69.48000000000002,3,1.0986122886681098,-1.623071726684757
secr_joint,D.x.s,0.39309653439270925,0.08274274197521582,69.48000000000002,3,0.5,-21.38069312145815
secr_joint,g0,0.8685313435739364,0.8082908759908414,69.48000000000002,3,0.8,8.566417946742039
secr_joint,sigma.(Intercept),4.0557136285796584,0.054002945632084645,69.48000000000002,3,4.05,0.1410772488804599
secr_joint,sigma.x.s,-0.17671930123125407,0.039835103087738626,69.48000000000002,3,-0.23,-23.165521203802584
secr_glm,g0,0.8678684946032674,0.8044327643123389,33.909999999999854,3,0.8,8.483561825408422
secr_glm,sigma.(Intercept),4.0565720787899675,0.05407300482794287,33.909999999999854,3,4.05,0.16227355036957244
secr_glm,sigma.x.s,-0.17626822823941948,0.03984520326303187,33.909999999999854,3,-0.23,-23.361639895904577
secr_glm,D.(Intercept),1.0801254440824628,0.05809882752525065,33.909999999999854,3,1.0986122886681098,-1.6827451118409842
secr_glm,D.x.s,0.39253570743298194,0.061477755976147845,33.909999999999854,3,0.5,-21.49285851340361
secr_joint,D.(Intercept),1.0839772584436183,0.08948332003618545,65.89000000000033,4,1.0986122886681098,-1.3321378593201558
secr_joint,D.x.s,0.5782101035914176,0.09313112705476359,65.89000000000033,4,0.5,15.642020718283511
secr_joint,g0,0.7302795333223815,0.48696814923201953,65.89000000000033,4,0.8,-8.71505833470232
secr_joint,sigma.(Intercept),4.0871160438022764,0.0625072731523397,65.89000000000033,4,4.05,0.9164455259821389
secr_joint,sigma.x.s,-0.23956334776825675,0.04495419766574563,65.89000000000033,4,-0.23,4.157977290546406
secr_glm,g0,0.7306402607167399,0.48767920594429015,34.89000000000033,4,0.8,-8.669967410407514
secr_glm,sigma.(Intercept),4.086635332676273,0.062492903509577945,34.89000000000033,4,4.05,0.904576115463546
secr_glm,sigma.x.s,-0.23975555567308784,0.044929512357442344,34.89000000000033,4,-0.23,4.241545944820797
secr_glm,D.(Intercept),1.0843315689527284,0.06063736008270578,34.89000000000033,4,1.0986122886681098,-1.299887126940336
secr_glm,D.x.s,0.578455116656022,0.06397451351927429,34.89000000000033,4,0.5,15.691023331204402
