sim,g0,sigma,D,parameter,estimate,sim_id
1,0.42666580536861287,75.87622195026313,6.374016109686334,p.g0,-43.11122595085162,6
1,0.42666580536861287,75.87622195026313,6.374016109686334,p.D,6.233601828105565,6
1,0.42666580536861287,75.87622195026313,6.374016109686334,p.sig,26.460369917105215,6
2,0.9999999901113237,52.53489686927472,5.724911656682385,p.g0,33.33333201484316,6
2,0.9999999901113237,52.53489686927472,5.724911656682385,p.D,-4.584805721960242,6
2,0.9999999901113237,52.53489686927472,5.724911656682385,p.sig,-12.441838551208804,6
3,0.6918021670299923,61.943190328686526,6.069690382220416,p.g0,-7.759711062667692,6
3,0.6918021670299923,61.943190328686526,6.069690382220416,p.D,1.161506370340263,6
3,0.6918021670299923,61.943190328686526,6.069690382220416,p.sig,3.238650547810877,6
4,0.8352537060179945,64.65304567674788,4.916094120162068,p.g0,11.367160802399273,6
4,0.8352537060179945,64.65304567674788,4.916094120162068,p.D,-18.065097997298864,6
4,0.8352537060179945,64.65304567674788,4.916094120162068,p.sig,7.755076127913132,6
5,0.7016827438282026,61.588334977959676,6.153621450455737,p.g0,-6.442300822906318,6
5,0.7016827438282026,61.588334977959676,6.153621450455737,p.D,2.560357507595616,6
5,0.7016827438282026,61.588334977959676,6.153621450455737,p.sig,2.647224963266126,6
6,0.8064293062968476,62.716980547932614,6.227398300371238,p.g0,7.523907506246348,6
6,0.8064293062968476,62.716980547932614,6.227398300371238,p.D,3.789971672853968,6
6,0.8064293062968476,62.716980547932614,6.227398300371238,p.sig,4.528300913221024,6
7,0.9272414919726752,64.3534179872002,4.356291579306388,p.g0,23.63219892969003,6
7,0.9272414919726752,64.3534179872002,4.356291579306388,p.D,-27.395140344893527,6
7,0.9272414919726752,64.3534179872002,4.356291579306388,p.sig,7.255696645333671,6
8,0.3367348386791612,73.35080909195617,7.202487123385248,p.g0,-55.10202150944517,6
8,0.3367348386791612,73.35080909195617,7.202487123385248,p.D,20.041452056420805,6
8,0.3367348386791612,73.35080909195617,7.202487123385248,p.sig,22.25134848659361,6
9,0.6668189617168593,64.3649906912787,6.799445615525214,p.g0,-11.090805104418761,6
9,0.6668189617168593,64.3649906912787,6.799445615525214,p.D,13.324093592086905,6
9,0.6668189617168593,64.3649906912787,6.799445615525214,p.sig,7.27498448546451,6
10,0.9366410442376834,53.622838467904685,6.566475199368026,p.g0,24.885472565024447,6
