Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,grad,,
92.96235575,96.51274853,83.79772181,81.81379637,80.24592917,76.57361347,72.07842933,71.82922904,70.73301331,68.3988774,66.12449812,59.83565991,59.884868,66.28645417,66.74505562,65.29337833,57.2273345,60.38693801,62.41644209,70.80894731,69.68692025,73.85044719,116.4,1573.492658,1831.545454
93.85512297,89.65400602,85.4619696,83.03484736,80.89148559,78.35191674,73.20182743,68.97704141,67.47117696,66.89917844,70.3565953,65.00926493,60.70117978,59.42708516,61.05005127,64.92801254,61.14855396,67.2992639,66.59772422,67.04172092,66.69420866,70.57302208,116.4,1568.625255,1825.879797
98.69032587,92.61038036,80.37254159,80.88208557,77.56918114,73.91960127,72.3816417,71.47002294,66.33417774,66.79024473,65.24774965,64.96011532,61.09235003,68.89180048,65.01925416,67.1210851,64.22370838,67.40824502,62.73720357,64.0081337,64.78828678,69.43833103,116.4,1565.956466,1822.773327
94.66785078,88.56921944,81.55022036,79.15019335,78.76679748,73.6872435,72.89360044,68.83395716,70.98480301,65.69336802,65.26442362,65.08393586,64.13665548,64.30516109,67.33215189,59.14792932,62.67896457,66.00471147,65.88720473,65.22263535,67.74632515,73.07574288,116.4,1560.683095,1816.635123
94.82672624,90.71328318,83.09046103,84.77146941,82.46121999,75.48990277,78.93291321,69.71778246,71.65669531,65.55873638,66.59186087,64.57914633,63.04565314,60.10627848,66.5679635,61.78054988,63.06696562,64.1968212,61.47567375,64.95961798,66.50715752,67.62574548,116.4,1567.722624,1824.829134
99.11294437,93.16454379,81.55612983,82.29317657,78.35074313,81.97247625,70.93921123,68.41500695,68.13950553,69.60021559,69.02325248,62.5836609,61.29795593,63.92020235,61.7095257,66.0595133,62.48989679,63.22830311,64.81496696,66.08895963,68.41607308,72.01293024,116.4,1575.189194,1833.520221
95.72308918,93.83620589,85.92436333,82.81992038,82.27198805,69.4402477,70.35097401,71.15139797,67.64308614,63.86272035,65.61552858,63.51022095,63.56179985,68.85561822,64.43604688,58.308523,62.6302999,68.77586951,63.51382068,65.55431529,69.89600648,76.2915985,116.4,1573.973641,1832.105318
91.05792213,89.47563685,90.27281956,83.96400547,82.9826214,74.64415608,78.23095244,70.32363766,69.61636138,71.19731107,66.63826695,63.83063856,61.82132727,65.49757665,62.17139874,64.37523416,65.73668754,61.47929858,68.83571098,69.91691493,68.93460381,70.37377064,116.4,1591.376853,1852.362657
92.62076915,85.77848441,84.96449588,83.04292122,78.49852041,75.7095897,75.53406224,73.69684047,68.88490724,70.2861665,67.77024094,63.27564977,61.48051738,58.06249365,64.66282845,68.62182022,66.15303367,64.12562217,68.49822344,66.70206837,68.80689243,72.48790902,116.4,1579.664057,1838.728962
93.27268714,89.29841829,88.18271948,83.15896074,75.20004314,78.19890455,74.35177189,74.07776165,66.46402148,63.3804078,58.64175463,65.25846673,63.80319418,65.26755982,65.76276255,59.98703274,62.83105492,63.67948321,64.50306149,68.64262458,73.53850992,68.46563616,116.4,1565.966837,1822.785398
97.78585947,89.3598963,88.05596114,80.59369062,79.15511624,71.04817345,72.59850424,70.43363752,70.52566027,69.51273041,63.79767454,58.67890673,61.93103787,59.24560558,64.75600047,66.79416814,64.66628166,64.76221234,64.84169086,71.09724641,69.19258646,73.00431168,116.4,1571.836952,1829.618213
95.44981824,90.02291686,88.86136499,83.44325047,77.41822238,75.51858005,72.1540036,67.62697599,67.38059436,69.76364364,63.4201768,64.16953717,64.92991912,64.64954553,64.95194556,59.4194873,67.17659714,67.75818215,67.64905298,70.73157531,72.22811677,69.2063212,116.4,1583.929828,1843.694319
95.56052314,93.04929189,82.99384117,79.53198352,75.3993972,74.87232639,70.01649316,71.93833029,75.26644908,63.68253461,65.59731471,67.02597361,60.71372556,62.92105459,65.36813229,65.28585792,65.95632362,61.99956671,59.33213845,65.24276419,68.71147857,72.69063674,116.4,1563.156137,1819.513744
94.77643849,87.38731659,82.80031153,82.98190891,81.78355089,75.38365698,73.94402494,67.32069061,69.48792193,62.18388178,68.56822346,58.0257744,62.57899134,62.19142023,63.30622114,65.01208616,63.69432354,66.62230336,64.53333644,69.66269275,69.7314279,74.04596341,116.4,1566.022467,1822.850151
92.97488244,85.6922806,90.5685258,85.6239419,80.93726296,73.03463519,75.58936045,74.67731641,63.30064133,66.58854052,61.71138244,66.91410237,58.23842332,62.09704152,62.83505945,64.94378108,62.44475891,65.30749398,67.05021666,67.23753937,67.04843537,70.60503428,116.4,1565.420656,1822.149644
99.30714367,92.19570226,90.21026065,80.73333989,80.94195805,76.89451891,79.14234549,69.13218233,70.51148476,71.76439516,65.01815692,64.54296692,58.0800237,62.22124366,62.91098845,58.45646034,60.96287944,68.34176052,64.6974099,64.54531547,69.79142599,69.08296133,116.4,1579.484924,1838.520451
95.82291931,90.0286396,85.7961568,78.81606033,77.01784702,72.16682919,75.77603005,66.83719425,72.77618618,70.0648444,65.52306056,62.14824122,64.28234152,65.33440315,64.40543683,59.63745339,63.85950505,59.54306429,67.0566445,68.62734741,66.63438808,72.73026192,116.4,1564.884855,1821.525971
89.16167743,91.06782702,86.41703498,81.78124506,85.05156619,75.0175315,73.02447765,68.58303944,67.40502793,69.43523621,66.39767645,66.26092738,65.65635373,59.37985819,65.40006398,60.77234763,65.7839155,63.73224298,64.21781845,66.50323346,66.92120016,68.97486857,116.4,1566.94517,1823.924178
96.37297679,86.51813715,84.63577646,79.60986444,76.62069069,76.93785885,70.0924396,64.96920551,67.76035835,63.36296807,66.06490551,60.33774812,62.86641713,60.76832532,62.66314759,65.36603923,63.94165398,62.25576766,69.73899824,66.89406026,69.91589646,68.70316433,116.4,1546.3964,1800.005409
93.19935863,88.20058061,82.64092792,83.35199067,79.27316542,71.30437074,71.64284343,71.86251564,70.87841957,67.80859496,65.35052379,64.55346562,62.80254984,69.55165462,60.16933733,62.82221454,60.84952411,66.51617707,64.97003964,68.13104963,63.62583656,67.0529399,116.4,1556.55808,1811.833605
91.59103803,89.5096527,88.18062595,82.39981922,80.24752883,71.91939983,71.68628168,67.73816879,67.20320402,68.19615343,67.09827831,59.71342883,62.07768906,68.6544339,65.65854568,65.42543331,61.70192491,62.95791826,67.88476776,64.0883983,69.09191212,66.56312714,116.4,1559.58773,1815.360118
93.88810547,95.76285891,82.0343886,85.48460049,79.08737224,82.78703476,74.87551215,74.70138474,72.8542833,65.24480565,68.0658229,64.82036436,63.19092177,57.97349065,67.48767191,60.69815665,65.35943522,61.90815754,67.06110302,65.80697349,68.3026686,69.9840838,116.4,1587.379196,1847.709384
91.70407185,94.78220768,84.91088906,82.21583098,82.60159785,76.10951583,73.28710562,72.37503272,72.43855348,66.18656611,63.07339749,64.49840313,63.35861694,62.04620227,62.6356731,62.67170954,68.93490073,65.09935705,69.01802944,63.26101333,73.35148531,72.35357653,116.4,1586.913736,1847.167589
92.50714307,90.20168516,82.36372812,83.55391351,78.78927697,80.55182908,70.56922666,70.67728306,65.45745273,67.25917413,65.774748,69.08996784,60.1974952,59.87867349,63.96701167,58.32234561,62.24957236,62.25394835,62.51917733,65.90346076,74.12754205,70.39861755,116.4,1556.613273,1811.897849
92.78784589,92.9832973,88.24416114,82.23753549,77.51364058,79.15634601,76.63355597,71.40402872,66.70381051,63.97843705,64.21579003,67.48527124,61.76076426,63.49450619,66.01902546,60.58249677,61.39733916,61.78711102,63.09273961,58.92814672,70.69047378,71.18177027,116.4,1562.278093,1818.4917
89.91828726,88.57021965,81.03564481,85.32345634,79.97401126,76.68160614,74.6208482,71.73232352,65.60850235,66.21276695,61.18555053,64.81634399,61.03926574,63.60839395,64.82429206,63.36859143,64.21989712,59.455527,63.15503519,65.86470846,71.22476463,70.07890022,116.4,1552.518937,1807.132042
96.74173832,89.08469334,83.23613766,81.31696172,76.55695222,75.40582725,67.1391537,69.56623135,70.16398187,63.35448452,67.65264078,66.01383504,64.87032794,61.29827187,61.15067968,59.1750696,66.4664086,66.21017707,66.7486482,65.99813785,69.9836952,73.21966691,116.4,1561.353721,1817.415731
94.89182694,89.86379987,86.43151411,83.10870954,79.69010985,78.93300499,72.9577604,71.60617778,70.94965764,68.34380479,57.43371338,68.03323597,64.90910429,65.06680969,65.54341989,61.18955341,65.07830651,64.5136171,66.06957542,65.89388967,65.00843854,70.91604078,116.4,1576.432071,1834.96693
91.40098748,86.27406568,88.23385523,82.65345114,76.70434851,75.93466792,75.24658545,71.72865759,69.95658972,69.71164885,67.6309529,67.75587296,64.3236455,60.67370004,61.35007251,66.3659901,59.38102312,69.20277107,63.06963043,70.8218483,69.86250387,71.91262817,116.4,1580.195497,1839.347558
97.86622552,90.08510773,80.81212494,88.73965968,81.21100706,79.4827163,76.2311125,74.49794642,66.71720326,63.29448172,63.65632009,67.32162259,69.20754625,62.7507127,59.91688889,59.88463049,64.12838489,65.36085651,65.55950619,67.60884991,67.57085506,66.69163572,116.4,1578.595394,1837.485039
95.62996846,90.73436859,90.51733322,83.59118978,79.36280099,72.90203089,69.62176511,72.0701458,69.17958066,71.38888873,68.54323489,65.24389412,61.69052856,64.06545637,60.17909409,59.32011524,66.75479591,62.76419979,68.42310032,67.50812164,71.92451784,77.15694335,116.4,1588.572074,1849.097895
93.67972015,87.08064808,89.72331946,85.99721741,76.36465416,74.29951652,73.66517104,75.12165305,65.62922987,67.85157583,63.76452446,67.6089224,62.05534521,61.0478866,65.46537123,64.19723514,63.88637832,68.31240025,67.39449055,66.08320758,71.46036212,70.83534103,116.4,1581.52417,1840.894134
96.89671961,86.13111516,88.28270298,78.87033828,79.27518736,75.97717458,72.23675541,68.86651141,61.76689686,63.79118233,64.96611107,64.05856944,64.60181809,62.16893296,61.8236721,58.69501424,62.14833916,63.12951539,65.08992423,70.804666,68.71851768,75.19258421,116.4,1553.492249,1808.264977
96.85079124,98.3087247,86.91110862,83.05056702,75.66386914,78.77260812,73.40112324,68.35788364,69.3293964,68.65579506,64.97365231,61.26964014,63.84935926,58.54893777,52.59855038,64.0147829,60.83804122,63.45652869,61.37713994,69.52087952,67.74030765,66.39133383,116.4,1553.881021,1808.717508
