sim,parameter,estimate,sim_id
1,g0,0.42666580536861287,6
1,D,6.374016109686334,6
1,sigma,75.87622195026313,6
2,g0,0.9999999901113237,6
2,D,5.724911656682385,6
2,sigma,52.53489686927472,6
3,g0,0.6918021670299923,6
3,D,6.069690382220416,6
3,sigma,61.943190328686526,6
4,g0,0.8352537060179945,6
4,D,4.916094120162068,6
4,sigma,64.65304567674788,6
5,g0,0.7016827438282026,6
5,D,6.153621450455737,6
5,sigma,61.588334977959676,6
6,g0,0.8064293062968476,6
6,D,6.227398300371238,6
6,sigma,62.716980547932614,6
7,g0,0.9272414919726752,6
7,D,4.356291579306388,6
7,sigma,64.3534179872002,6
8,g0,0.3367348386791612,6
8,D,7.202487123385248,6
8,sigma,73.35080909195617,6
9,g0,0.6668189617168593,6
9,D,6.799445615525214,6
9,sigma,64.3649906912787,6
10,g0,0.9366410442376834,6
10,D,6.566475199368026,6
10,sigma,53.622838467904685,6
11,g0,0.6858877753296886,6
11,D,5.4407037744035875,6
11,sigma,67.93136984525364,6
12,g0,0.5159551674922117,6
12,D,5.430874778631012,6
12,sigma,74.11838405847219,6
13,g0,0.8749262166934001,6
13,D,6.619932476644181,6
13,sigma,52.22211545520739,6
14,g0,0.6961492118171019,6
14,D,6.6203089602137535,6
14,sigma,55.545293849827516,6
15,g0,0.4199446897521892,6
15,D,5.6642668738104955,6
15,sigma,75.07302300714623,6
16,g0,0.7487367520316697,6
16,D,6.209276512368885,6
16,sigma,63.793294224123414,6
17,g0,0.6264400880884028,6
17,D,6.877414225426954,6
17,sigma,63.32751967710778,6
18,g0,0.6095967792384768,6
18,D,6.684935308600526,6
18,sigma,62.875974442543196,6
19,g0,0.7873768890544868,6
19,D,4.57837503110406,6
19,sigma,65.84162719245252,6
20,g0,0.5951295591532445,6
20,D,6.089063976122027,6
20,sigma,64.29097390212914,6
21,g0,0.9999999989461256,6
21,D,7.1833376501979505,6
21,sigma,45.06028376872344,6
22,g0,0.7405087715267743,6
22,D,6.932495889342368,6
22,sigma,62.114337115194296,6
23,g0,0.6722623385135073,6
23,D,5.802835243992073,6
23,sigma,58.389821130175406,6
24,g0,0.9999999972525222,6
24,D,4.354523007706224,6
24,sigma,50.839750823244955,6
25,g0,0.8823848833076349,6
25,D,5.274216158845531,6
25,sigma,58.24448767035644,6
26,g0,0.5603758830201333,6
26,D,5.120566302896393,6
26,sigma,75.06695491244942,6
27,g0,0.5313538581643409,6
27,D,7.027680127105413,6
27,sigma,69.34826466574117,6
28,g0,0.8499310209345229,6
28,D,6.674889727492937,6
28,sigma,50.909361255506134,6
29,g0,0.851519624026993,6
29,D,5.604584959023174,6
29,sigma,56.59552099012812,6
30,g0,0.8506684076370136,6
30,D,5.251563180637422,6
30,sigma,57.255515182649766,6
31,g0,0.8634993668891731,6
31,D,5.4889506545008,6
31,sigma,55.66594979421875,6
