sim,g0,sigma,D
1,0.7997187801089413,50.202887075688686,3.9537842373132586
2,0.6953903141361568,62.630414457825786,3.1149471342803055
3,0.6375574875479953,62.72983228675546,3.298383020815326
4,0.9999999988529541,48.522797964281395,3.413764567526749
5,0.993291236146235,58.11205127255478,2.1756320604102966
6,0.9999999944500934,58.66200458989018,2.855981435534864
7,0.9999999984395744,52.789107270034904,2.890531431725402
8,0.9999999992827874,49.523105536385735,3.4243835712846646
9,0.7185043920932386,60.25452742943291,3.50042407104026
10,0.4844621273811196,68.09418031115342,3.757142059130726
11,0.9779090995972927,49.1932589868866,3.708765541997764
12,0.9499718883911097,60.82134647137573,2.814870350546288
13,0.5119266250486593,59.80151451302229,3.6733433560957884
14,0.7507626473105626,68.27330886103978,2.2431818461325554
15,0.9999999990596946,62.69290536701907,1.7546724680437698
16,0.45462955481388656,78.96782480812769,3.119664869939216
17,0.8439591195656816,55.59766894005113,2.555075379980068
18,0.5852880776208632,60.72228699650901,2.9207932713863047
19,0.7383786956942466,71.8868161993493,1.6733523071074754
20,0.4877063384992499,71.03398411737595,2.2373529030576287
21,0.9999999989785698,59.188548274644695,2.6679123175268935
22,0.9254428930545723,51.00062174420931,2.9840474897719984
23,0.9999999969051331,53.214680494985274,2.414749038884602
24,0.5634788927570747,69.48146833390862,3.272685482740044
25,0.9999999984785372,54.12580820169179,2.1894643288836173
26,0.9999999984042258,54.783970672277995,2.588504640449669
27,0.9999999992563446,57.704855164291764,2.6713417493024543
28,0.8592513951714739,66.62694405426184,2.2125992566920267
29,0.8044402166028791,54.204879112017785,2.8340977963081695
30,0.3870115955020199,75.37451623169395,3.88110526524125
31,0.37682367178541437,70.02444698461271,3.9829238937867024
32,0.9999999930296041,40.17297189482227,3.8793792146166863
33,0.6683974896305274,61.079064889215005,3.316558734084454
34,0.5580553559243759,77.19484524886245,1.9537986221990498
35,0.443699987651301,81.95013060130199,2.7431926897134096
36,0.7447124348251387,64.45636978900964,2.8610266726178364
37,0.3992708815948827,82.69421319966226,2.9120765146416945
38,0.4969751511718946,71.30450785023791,3.7212953245965688
39,0.9146317324727964,53.502625020756234,1.7906558634426
40,0.6832163983726063,54.23997547692109,4.782614620111377
41,0.9081593447835014,53.406333613539196,2.5628501177325544
42,0.9164519681842034,51.562476826715454,2.2708427871415457
43,0.6908900210311318,57.5994507214545,3.108459951911992
44,0.528451281696269,63.261101467506435,3.618174286821784
45,0.6292417903511315,65.13960943580346,3.0587049071744
46,0.6354880652520689,77.39541806888765,2.1513802502275396
47,0.797583084512469,62.96907380045084,2.9106523607553942
48,0.9659553205747861,53.03467930026424,3.583475000799567
49,0.6702766400515316,58.791357699571456,3.2903954791859715
50,0.9999999988494752,54.140837937443365,2.5389089509477745
51,0.8210910961801053,70.48113390017011,2.5291746369142865
52,0.9999999995582696,48.63483843054419,4.204641007979909
53,0.9999999989691174,47.03842189372183,3.448014760805383
54,0.3601510863042923,87.78308283581887,2.500189395751919
55,0.9999999946699282,47.7702442637248,2.970479607933166
56,0.5815382577773934,55.21051351879519,4.26371089601561
57,0.6061839479660681,57.937259560112004,3.5040347467802957
58,0.9999999985301766,54.940461202108054,3.439238717590817
59,0.47886925286956283,61.88551365248628,2.9329153855646997
60,0.5384313940192463,58.18455567950446,4.177262807414258
61,0.38140814585134397,73.9571769548003,3.8282694851537995
62,0.9999999980470152,50.861953584290845,3.027577068134779
63,0.96895430263227,47.40512285371875,2.9639792097573596
64,0.9685911209663834,50.99137190237416,4.530358925349285
65,0.6213405683256327,64.2960829849315,3.4303301408839935
66,0.9999999980043754,40.73228433875814,3.5506220885175988
67,0.8736095028437819,67.8182699661022,2.7123106754885677
68,0.7451846476614992,72.38726068480582,2.579971391672533
69,0.9999999950872396,54.70428457828128,3.371094246399271
70,0.5320998638206583,67.26829449192286,3.7756957395811783
71,0.9999999981091813,58.93779620808322,2.287453890119597
72,0.7949821898132643,57.42176173090144,3.586033134659921
73,0.9921089793039234,50.22708376738949,3.7689986669523554
74,0.9999999988332993,54.711509329040005,3.024848898711928
75,0.9999999850772375,45.93100954648896,2.909768967851045
76,0.9999999865577727,48.07456145563077,3.65763302884585
77,0.67266346256113,56.524326841587566,3.907050621190305
78,0.9999999990015351,54.06349836632097,2.894203553996785
79,0.39005629255905644,68.7712298569328,3.146271637377043
80,0.9999999979215893,44.43701489960062,3.0394543930314026
81,0.5862005989334352,66.70297859797068,3.289861591964104
82,0.999999998235606,54.726932346257165,2.5918276973307397
83,0.9777765366308091,52.7052811424299,2.663977307020345
84,0.6031293552757503,62.605826114359886,2.630469727175308
85,0.948112666644555,61.47632359451883,2.8576793347523024
86,0.999999999150805,56.398070470641755,2.4144640514915916
87,0.798901990337968,59.31780313414667,2.8807282756849744
88,0.9999999985475169,47.88149355941129,3.676516537509377
89,0.9999999847743788,53.473743862551615,3.111481462094526
90,0.7309269684898287,63.84750367507675,1.98471026375833
91,0.9999999990839142,54.62622451327266,3.203848787752193
92,0.9999999983270574,63.76021595859952,1.790083370869692
93,0.698427675581054,60.4420425168048,3.073352729114895
94,0.7984323223952717,59.320385055177475,4.052363946723482
95,0.875585000983748,54.67015043341373,3.491956893137823
96,0.7157274211844279,58.321766061391244,2.780210754314309
97,0.9901574150660789,57.624116040343054,3.3445887500221336
98,0.8435489954963504,58.46896839920083,2.745352800600812
99,0.9999999994360962,65.21935991920887,1.6709767465133905
100,0.9999999907293413,55.279592674386,2.901298487494607
101,0.9999999959768809,54.5425411772717,2.2556081751595136
102,0.8787835667892918,52.58831608947546,3.368498826003052
103,0.99999999205663,45.24389652787991,3.1877303706095566
104,0.9999999984886166,57.03642700922506,2.8740285926320577
105,0.9325758496201028,61.39749405963557,2.655951558518817
106,0.9999999887720764,47.99991215109974,3.766712983623895
107,0.6449579063219115,71.94039733332589,2.6068521671487264
108,0.9999999990549895,56.14305499664915,2.595383221704307
109,0.49885653990688694,78.32936148542694,1.9761588878798473
110,0.9999999995707142,56.2643064983838,3.0060182108810825
111,0.6699157527406295,62.98377855834669,3.3557439600672176
112,0.3168101324027371,103.03113570164243,1.8114285486502857
113,0.7376460236542276,71.13270859699075,2.216156817937516
114,0.6908472525117455,62.2217291075382,3.25069127181078
115,0.8533217509990054,53.47039300294915,3.758912498260834
116,0.7396220160415138,63.192777220810726,2.1714896073184424
117,0.9999999972177822,51.15934597369507,2.4420316586003348
