method,parameter,estimate,se,time,sim,true,pct_diff,beta0_true,beta1_true
secr_joint,D.(Intercept),2.022180895690647,0.04909330623436663,76.73999999999978,1,2.079431355826031,-2.7531786502585325,2.079431355826031,0.12499880890827626
secr_joint,D.x.s,0.052001650532093005,0.05272671515193929,76.73999999999978,1,0.12499880890827626,-58.39828316264065,2.079431355826031,0.12499880890827626
secr_joint,g0,0.7834522046455733,0.28777277106488336,76.73999999999978,1,0.8,-2.068474419303343,2.079431355826031,0.12499880890827626
secr_joint,sigma.(Intercept),4.101241816816848,0.033373992938612665,76.73999999999978,1,4.05,1.2652300448604452,2.079431355826031,0.12499880890827626
secr_joint,sigma.x.s,-0.17871925087744112,0.025238551592545056,76.73999999999978,1,-0.23,-22.29597787937343,2.079431355826031,0.12499880890827626
secr_glm,g0,0.7836834763940296,0.28811264295017025,48,1,0.8,-2.0395654507463084,2.079431355826031,0.12499880890827626
secr_glm,sigma.(Intercept),4.100761741975892,0.03337986150766322,48,1,4.05,1.2533763450837505,2.079431355826031,0.12499880890827626
secr_glm,sigma.x.s,-0.17897633915681724,0.02525297728233194,48,1,-0.23,-22.184200366601203,2.079431355826031,0.12499880890827626
secr_glm,D.(Intercept),2.022653322521017,0.03648891744988896,48,1,2.079431355826031,-2.7304596107939045,2.079431355826031,0.12499880890827626
secr_glm,D.x.s,0.05234198189850559,0.038558000592241674,48,1,0.12499880890827626,-58.126015475144264,2.079431355826031,0.12499880890827626
secr_joint,D.(Intercept),0.27088547523514755,0.11658899598880847,80.70000000000027,1,0.47315134924206953,-42.74866262791539,0.47315134924206953,0.5457608172670007
secr_joint,D.x.s,0.6992420576780388,0.12598732377458366,80.70000000000027,1,0.5457608172670007,28.122436707644965,0.47315134924206953,0.5457608172670007
secr_joint,g0,0.9125046388929265,1.5039426643363898,80.70000000000027,1,0.8,14.063079861615812,0.47315134924206953,0.5457608172670007
secr_joint,sigma.(Intercept),4.04303421831864,0.07318105509904475,80.70000000000027,1,4.05,-0.17199460941629013,0.47315134924206953,0.5457608172670007
secr_joint,sigma.x.s,-0.30537261316125736,0.05675493520336667,80.70000000000027,1,-0.23,32.77070137445971,0.47315134924206953,0.5457608172670007
secr_glm,g0,0.9153583820131419,1.5495459917202499,44.67000000000007,1,0.8,14.419797751642733,0.47315134924206953,0.5457608172670007
secr_glm,sigma.(Intercept),4.037596106681809,0.07260315150237294,44.67000000000007,1,4.05,-0.30626897081952886,0.47315134924206953,0.5457608172670007
secr_glm,sigma.x.s,-0.3063540720671859,0.056305783322351456,44.67000000000007,1,-0.23,33.19742263790691,0.47315134924206953,0.5457608172670007
secr_glm,D.(Intercept),0.276315249808902,0.0877529387617133,44.67000000000007,1,0.47315134924206953,-41.60108594183972,0.47315134924206953,0.5457608172670007
secr_glm,D.x.s,0.7005032280044283,0.09236472833135392,44.67000000000007,1,0.5457608172670007,28.353521513751982,0.47315134924206953,0.5457608172670007
secr_joint,D.(Intercept),1.1943501323070127,0.08261412569882842,96.75,1,1.134307355605305,5.29334279681779,1.134307355605305,0.10483128393534571
secr_joint,D.x.s,-0.02608200480985371,0.08662730379998691,96.75,1,0.10483128393534571,-124.87998222547733,1.134307355605305,0.10483128393534571
secr_joint,g0,0.8077693610305454,0.5781827638699599,96.75,1,0.8,0.9711701288181718,1.134307355605305,0.10483128393534571
secr_joint,sigma.(Intercept),3.9936934438403484,0.05582219558495974,96.75,1,4.05,-1.3902853372753436,1.134307355605305,0.10483128393534571
secr_joint,sigma.x.s,-0.18714996127391342,0.04118351905941581,96.75,1,-0.23,-18.630451620037647,1.134307355605305,0.10483128393534571
secr_glm,g0,0.8075297977245839,0.5776249750693477,53.01999999999998,1,0.8,0.9412247155729803,1.134307355605305,0.10483128393534571
secr_glm,sigma.(Intercept),3.9940820653870244,0.05583220523173035,53.01999999999998,1,4.05,-1.380689743530258,1.134307355605305,0.10483128393534571
secr_glm,sigma.x.s,-0.186772867286856,0.041144097522756974,53.01999999999998,1,-0.23,-18.794405527453918,1.134307355605305,0.10483128393534571
secr_glm,D.(Intercept),1.1940020975398116,0.05939507968421148,53.01999999999998,1,1.134307355605305,5.262660216344228,1.134307355605305,0.10483128393534571
secr_glm,D.x.s,-0.0265998439949583,0.06252512228260594,53.01999999999998,1,0.10483128393534571,-125.3739561287484,1.134307355605305,0.10483128393534571
secr_joint,D.(Intercept),1.8220382676402562,0.062476265294786434,84.88999999999987,1,1.8419007291708411,-1.078367645770263,1.8419007291708411,0.8770535733085125
secr_joint,D.x.s,0.9142397211506922,0.06556895065579581,84.88999999999987,1,0.8770535733085125,4.239894685327171,1.8419007291708411,0.8770535733085125
secr_joint,g0,0.7051650146499274,0.3082383857743629,84.88999999999987,1,0.8,-11.854373168759077,1.8419007291708411,0.8770535733085125
secr_joint,sigma.(Intercept),4.1135582457771225,0.04617643696713763,84.88999999999987,1,4.05,1.5693394019042632,1.8419007291708411,0.8770535733085125
secr_joint,sigma.x.s,-0.2599416515670367,0.030728513665348782,84.88999999999987,1,-0.23,13.01810937697247,1.8419007291708411,0.8770535733085125
secr_glm,g0,0.70625904630015,0.3092548466903003,42.50999999999976,1,0.8,-11.717619212481253,1.8419007291708411,0.8770535733085125
secr_glm,sigma.(Intercept),4.112136047180197,0.04601605747337064,42.50999999999976,1,4.05,1.534223387165365,1.8419007291708411,0.8770535733085125
secr_glm,sigma.x.s,-0.2599441003806411,0.030580094175101442,42.50999999999976,1,-0.23,13.019174078539598,1.8419007291708411,0.8770535733085125
secr_glm,D.(Intercept),1.8230320134595162,0.04365001477287324,42.50999999999976,1,1.8419007291708411,-1.0244154536938053,1.8419007291708411,0.8770535733085125
secr_glm,D.x.s,0.914121588193031,0.04501187629228463,42.50999999999976,1,0.8770535733085125,4.226425387526406,1.8419007291708411,0.8770535733085125
secr_joint,D.(Intercept),0.5034916069072799,0.12073660245503072,96.61999999999989,1,0.48807024833457546,3.1596596238607417,0.48807024833457546,0.9375744496937841
