fit_method,method,parameter,estimate,se,sim
acre,acre,g0,0.818511450745375,0.193048242895051,8
acre,acre,sigma,64.83923184612141,8.304077326274049,8
acre,acre,D,3.462540544486228,0.6788463564035971,8
secr,secr,D,4.009153138168111,0.7594692713010919,9
secr,secr,g0,0.7215999357409516,0.13944284745545388,9
secr,secr,sigma,77.11982965343701,9.470097036268323,9
acre,acre,g0,0.721599628104468,0.1394217361898865,9
acre,acre,sigma,77.11986107014371,9.427719960284728,9
acre,acre,D,4.009154220233151,0.7524378672699519,9
secr,secr,D,3.989075661568674,0.6969860706821428,10
secr,secr,g0,0.822123715889053,0.1525413941484894,10
secr,secr,sigma,69.71952101030568,8.083597728272187,10
acre,acre,g0,0.8221171300794331,0.15244340493571984,10
acre,acre,sigma,69.7199831756775,8.04725733459965,10
acre,acre,D,3.9890610883128983,0.691505383631224,10
secr,secr,D,2.6624850524981665,0.5558224160112372,11
secr,secr,g0,0.8037428800876628,0.14272844743053448,11
secr,secr,sigma,80.60516201059932,10.430964533334938,11
acre,acre,g0,0.8037387110938772,0.14267681475811034,11
acre,acre,sigma,80.60562302142549,10.3778534399938,11
acre,acre,D,2.6624717868391583,0.5496012713046283,11
secr,secr,D,2.8774939834718287,0.5485901389232172,12
secr,secr,g0,0.8974371474300464,0.14178993693071165,12
secr,secr,sigma,77.73006719161818,8.984249235216955,12
acre,acre,g0,0.8974378818604289,0.14171033508653388,12
acre,acre,sigma,77.72998751256921,8.945097941878679,12
acre,acre,D,2.877498068841287,0.543439230761114,12
secr,secr,D,3.602293491867536,0.769499942465376,13
secr,secr,g0,0.8031135776000974,0.26671471199619584,13
secr,secr,sigma,59.14833526520461,10.042992891896752,13
acre,acre,g0,0.8031007915626375,0.2663631455488948,13
acre,acre,sigma,59.14890616084254,9.954847907976811,13
acre,acre,D,3.602286905598037,0.7608304195258931,13
secr,secr,D,3.8612201071159453,0.7042155987959481,14
secr,secr,g0,0.7521274998468781,0.1198968393059927,14
secr,secr,sigma,81.5397322554481,9.582744020166864,14
acre,acre,g0,0.7521277509980839,0.1198710484259512,14
acre,acre,sigma,81.53966800924171,9.541136174710791,14
acre,acre,D,3.861227441680514,0.69804214904234,14
secr,secr,D,4.442159050740306,0.7553780015181388,15
secr,secr,g0,0.8694253476396954,0.18186702024786017,15
secr,secr,sigma,64.39387163623574,7.099290870107107,15
acre,acre,g0,0.8694183912235683,0.18174342604606247,15
acre,acre,sigma,64.39425357201725,7.071067803200272,15
acre,acre,D,4.442148943981714,0.7498892143956456,15
secr,secr,D,3.446975528487945,0.7907468699152056,16
secr,secr,g0,0.6224565461539757,0.13570066364970368,16
secr,secr,sigma,85.50800221856863,13.500439701766625,16
acre,acre,g0,0.6224555800868213,0.13568217761186402,16
acre,acre,sigma,85.50806837477133,13.406859432724023,16
acre,acre,D,3.4469826863678388,0.7800363940893349,16
secr,secr,D,3.2298567097236512,0.633240184564753,17
secr,secr,g0,0.7800643522936177,0.15357736943192157,17
secr,secr,sigma,72.0559639331783,8.95528006188383,17
acre,acre,g0,0.7800638809353986,0.15349065734488498,17
acre,acre,sigma,72.0560147169519,8.911617781429197,17
acre,acre,D,3.2298572933202307,0.627053851718673,17
secr,secr,D,2.457728971689973,0.5365120217692312,18
secr,secr,g0,0.801287797585469,0.15792430986960118,18
secr,secr,sigma,77.10844879202843,10.860266891652921,18
acre,acre,g0,0.8012878246659384,0.157836430968284,18
