method,parameter,estimate,se,sim,TRUE,pct_diff
secr_joint,sigma.x.s,-0.170940125,0.045196962,10,-0.23,-25.67820648
secr_joint,sigma.y.s,-0.208311933,0.042217453,10,-0.23,-9.429594281
secr_glm,D.x.s,0,296.5820801,10,0.5,-100
secr_glm,D.y.s,0,242.1582543,10,0.5,-100
secr_glm,g0,0.756225805,0.370381668,10,0.8,-5.471774431
secr_glm,sigma.(Intercept),4.124552641,0.062956634,10,4.05,1.840805949
secr_glm,sigma.x.s,-0.171529096,0.045170325,10,-0.23,-25.42213213
secr_glm,sigma.y.s,-0.209722111,0.042238234,10,-0.23,-8.816473447
secr_glm,D.(Intercept),1.146444526,0.058464519,10,1.098612289,4.353877852
secr_glm,D.x.s,0.427414355,0.061493974,10,0.5,-14.51712891
secr_glm,D.y.s,0.417404387,0.061130566,10,0.5,-16.51912266
